Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	7.09592683e-05	0.00556879605	293.172618	293.172618	293.172618	293.172618	0	0	0	0	0	0	3
2	10	9.29581808e-05	0.0111375921	293.19505	293.177927	293.172618	293.19505	0.0053086045	0	0	0	0	0	3
3	12	0.000117888856	0.0167063882	293.207021	293.18408	293.172618	293.207021	0.0114612327	0	0	0	0	0	3
4	13	0.00014356205	0.0222751842	293.214329	293.189489	293.172618	293.214329	0.0168707485	0	0	0	0	0	3
5	14	0.000169492047	0.0278439803	293.224422	293.194833	293.172618	293.224422	0.0222149758	0	0	0	0	0	3
6	16	0.000214100354	0.0334127763	293.252456	293.206839	293.172618	293.252456	0.0342207206	0	0	0	0	0	3
7	17	0.000268041784	0.0389815724	293.292128	293.224003	293.172618	293.292128	0.0513845792	0	0	0	0	0	3
8	18	0.000324199003	0.0445503684	293.341054	293.244278	293.172618	293.341054	0.0716599267	0	0	0	0	0	3
9	20	0.000381054483	0.0501191645	293.391529	293.266249	293.172618	293.391529	0.0936305995	0	0	0	0	0	3
10	21	0.000438108063	0.0556879605	293.440606	293.288955	293.172618	293.440606	0.116336621	0	0	0	0	0	3
11	22	0.000523672102	0.0612567566	293.513323	293.325615	293.172618	293.513323	0.152996684	0	0	0	0	0	3
12	23	0.000609846314	0.0668255526	293.586474	293.362476	293.172618	293.586474	0.189857246	0	0	0	0	0	3
13	25	0.000693455586	0.0723943487	293.657488	293.398045	293.172618	293.657488	0.22542665	0	0	0	0	0	3
14	26	0.000773939311	0.0779631447	293.725923	293.432142	293.172618	293.725923	0.259523486	0	0	0	0	0	3
15	27	0.000848255761	0.0835319408	293.789154	293.46342	293.172618	293.789154	0.290801675	0	0	0	0	0	3
16	29	0.000950820798	0.0891007368	293.875994	293.507924	293.172618	293.875994	0.335306036	0	0	0	0	0	3
17	30	0.00104564788	0.0946695329	293.95631	293.548587	293.172618	293.95631	0.375968993	0	0	0	0	0	3
18	31	0.00113603186	0.100238329	294.032767	293.587109	293.172618	294.032767	0.41449087	0	0	0	0	0	3
19	32	0.00122488323	0.105807125	294.107869	293.624884	293.172618	294.107869	0.452266106	0	0	0	0	0	3
20	34	0.00131268946	0.111375921	294.181968	293.662148	293.172618	294.181968	0.489529584	0	0	0	0	0	3
21	35	0.00144376926	0.116944717	294.291632	293.719299	293.172618	294.291632	0.546680462	0	0	0	0	0	3
22	36	0.00157550843	0.122513513	294.401719	293.776361	293.172618	294.401719	0.603742381	0	0	0	0	0	3
23	38	0.00170915783	0.128082309	294.513133	293.833973	293.172618	294.513133	0.661355081	0	0	0	0	0	3
24	39	0.00184509052	0.133651105	294.626348	293.89235	293.172618	294.626348	0.719731447	0	0	0	0	0	3
25	40	0.00198154309	0.139219901	294.739877	293.950712	293.172618	294.739877	0.778093668	0	0	0	0	0	3
26	42	0.00218701597	0.144788697	294.909318	294.040774	293.172618	294.909318	0.868155865	0	0	0	0	0	3
27	43	0.00239276647	0.150357493	295.07897	294.130047	293.172618	295.07897	0.957428845	0	0	0	0	0	3
28	45	0.00259829459	0.155926289	295.248493	294.218518	293.172618	295.248493	1.04589923	0	0	0	0	0	3
29	46	0.00280276313	0.161495086	295.417237	294.305967	293.172618	295.417237	1.13334879	0	0	0	0	0	3
30	48	0.00300639112	0.167063882	295.585376	294.392624	293.172618	295.585376	1.22000533	0	0	0	0	0	3
31	49	0.00327345526	0.172632678	295.804964	294.507849	293.172618	295.804964	1.33523081	0	0	0	0	0	3
32	51	0.00353980988	0.178201474	296.024155	294.621944	293.172618	296.024155	1.44932592	0	0	0	0	0	3
33	53	0.00380582861	0.18377027	296.242869	294.735243	293.172618	296.242869	1.56262484	0	0	0	0	0	3
34	54	0.00407209079	0.189339066	296.461804	294.848138	293.172618	296.461804	1.67551961	0	0	0	0	0	3
35	56	0.00433886706	0.194907862	296.681192	294.960844	293.172618	296.681192	1.78822535	0	0	0	0	0	3
36	57	0.00460671099	0.200476658	296.901373	295.07367	293.172618	296.901373	1.90105182	0	0	0	0	0	3
37	58	0.00487581881	0.206045454	297.122633	295.186757	293.172618	297.122633	2.01413884	0	0	0	0	0	3
38	60	0.00514614441	0.21161425	297.344761	295.300116	293.172618	297.344761	2.1274982	0	0	0	0	0	3
39	61	0.00541757703	0.217183046	297.567757	295.41373	293.172618	297.567757	2.241112	0	0	0	0	0	3
40	63	0.00568997614	0.222751842	297.791344	295.527555	293.172618	297.791344	2.3549367	0	0	0	0	0	3
41	64	0.00596330051	0.228320638	298.015597	295.641593	293.172618	298.015597	2.46897462	0	0	0	0	0	3
42	66	0.00623712204	0.233889434	298.240154	295.755675	293.172618	298.240154	2.5830564	0	0	0	0	0	3
43	67	0.00651125251	0.23945823	298.464854	295.869734	293.172618	298.464854	2.69711564	0	0	0	0	0	3
44	69	0.00678557658	0.245027026	298.68959	295.983734	293.172618	298.68959	2.81111544	0	0	0	0	0	3
45	70	0.00705997724	0.250595822	298.914224	296.097633	293.172618	298.914224	2.92501502	0	0	0	0	0	3
46	71	0.00733459806	0.256164618	299.138731	296.211498	293.172618	299.138731	3.03887931	0	0	0	0	0	3
47	73	0.00760935634	0.261733414	299.363136	296.325297	293.172618	299.363136	3.15267854	0	0	0	0	0	3
48	74	0.00788430355	0.267302211	299.587306	296.439052	293.172618	299.587306	3.2664337	0	0	0	0	0	3
