Iteration	CPUTime	PhysTime	Travels
1	2	0.0501082552	0.00556879605
2	3	0.0663078038	0.0111375921
3	3	0.0851177217	0.0167063882
4	4	0.104321536	0.0222751842
5	4	0.124607865	0.0278439803
6	4	0.160311059	0.0334127763
7	5	0.201786883	0.0389815724
8	5	0.245230605	0.0445503684
9	5	0.289163657	0.0501191645
10	6	0.333317486	0.0556879605
11	6	0.401136693	0.0612567566
12	6	0.469188992	0.0668255526
13	7	0.5373937	0.0723943487
14	7	0.605647205	0.0779631447
15	7	0.673900166	0.0835319408
16	8	0.774392114	0.0891007368
17	8	0.870588267	0.0946695329
18	9	0.96343286	0.100238329
19	9	1	0.105807125
20	10	0	0.121219947
21	11	0	0.136632769
22	11	0	0.152045591
23	11	0	0.167458414
24	12	0	0.182871236
25	12	0	0.198284058
26	13	0	0.21369688
27	13	0	0.229109702
28	13	0	0.244522524
29	14	0	0.259935346
30	14	0	0.275348169
31	14	0	0.290760991
32	15	0	0.306173813
33	15	0	0.321586635
34	15	0	0.336999457
35	16	0	0.352412279
36	16	0	0.367825101
37	17	0	0.383237924
38	17	0	0.398650746
39	17	0	0.414063568
40	18	0	0.42947639
41	18	0	0.444889212
42	19	0	0.460302034
43	19	0	0.475714856
44	19	0	0.491127679
45	20	0	0.506540501
46	20	0	0.521953323
47	20	0	0.537366145
48	21	0	0.552778967
49	21	0	0.568191789
50	21	0	0.583604611
51	22	0	0.599017434
52	22	0	0.614430256
53	23	0	0.629843078
54	23	0	0.6452559
55	23	0	0.660668722
56	24	0	0.676081544
57	24	0	0.691494366
58	24	0	0.706907189
59	25	0	0.722320011
60	25	0	0.737732833
61	25	0	0.753145655
62	26	0	0.768558477
63	26	0	0.783971299
64	26	0	0.799384122
65	27	0	0.814796944
66	27	0	0.830209766
67	27	0	0.845622588
68	28	0	0.86103541
69	28	0	0.876448232
70	28	0	0.891861054
71	29	0	0.907273877
72	29	0	0.922686699
73	30	0	0.938099521
74	30	0	0.953512343
75	30	0	0.968925165
76	31	0	0.984337987
77	31	0	0.999750809
78	31	0	1.01516363
79	32	0	1.03057645
80	32	0	1.04598928
81	33	0	1.0614021
82	33	0	1.07681492
83	33	0	1.09222774
84	34	0	1.10764056
85	34	0	1.12305339
86	34	0	1.13846621
87	35	0	1.15387903
88	35	0	1.16929185
89	35	0	1.18470468
90	36	0	1.2001175
91	36	0	1.21553032
92	36	0	1.23094314
