Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0.0501082552	0.00556879605	101549.219	101549.219	101549.219	101549.219	0	0	0	0	0	0	3
2	3	0.0663078038	0.0111375921	101333.447	101496.504	101333.447	101549.219	52.715017	0	0	0	0	0	3
3	3	0.0851177217	0.0167063882	101329.072	101459.504	101329.072	101549.219	89.7152846	0	0	0	0	0	3
4	4	0.104321536	0.0222751842	101328.797	101435.443	101328.797	101549.219	113.776203	0	0	0	0	0	3
5	4	0.124607865	0.0278439803	101328.553	101418.041	101328.553	101549.219	131.178029	0	0	0	0	0	3
6	4	0.160311059	0.0334127763	101328.338	101398.063	101328.338	101549.219	151.156013	0	0	0	0	0	3
7	5	0.201786883	0.0389815724	101328.169	101383.697	101328.169	101549.219	165.522336	0	0	0	0	0	3
8	5	0.245230605	0.0445503684	101328.02	101373.834	101328.02	101549.219	175.385759	0	0	0	0	0	3
9	5	0.289163657	0.0501191645	101327.934	101366.86	101327.934	101549.219	182.359311	0	0	0	0	0	3
10	6	0.333317486	0.0556879605	101327.861	101361.694	101327.861	101549.219	187.525479	0	0	0	0	0	3
11	6	0.401136693	0.0612567566	101327.846	101355.971	101327.846	101549.219	193.248115	0	0	0	0	0	3
12	6	0.469188992	0.0668255526	101327.806	101351.886	101327.806	101549.219	197.333306	0	0	0	0	0	3
13	7	0.5373937	0.0723943487	101327.808	101348.83	101327.806	101549.219	200.389274	0	0	0	0	0	3
14	7	0.605647205	0.0779631447	101327.797	101346.46	101327.797	101549.219	202.759625	0	0	0	0	0	3
15	7	0.673900166	0.0835319408	101327.815	101344.571	101327.797	101549.219	204.647938	0	0	0	0	0	3
16	8	0.774392114	0.0891007368	101327.831	101342.399	101327.797	101549.219	206.820277	0	0	0	0	0	3
17	8	0.870588267	0.0946695329	101327.865	101340.793	101327.797	101549.219	208.426227	0	0	0	0	0	3
18	9	0.96343286	0.100238329	101327.899	101339.55	101327.797	101549.219	209.668829	0	0	0	0	0	3
19	9	1	0.105807125	101327.926	101339.125	101327.797	101549.219	210.093899	0	0	0	0	0	3
20	10	0	0.121219947	101327.959	101339.398	101327.797	101549.219	210.093899	0	0	0	0	0	3
21	11	0	0.136632769	101327.998	101338.855	101327.797	101549.219	210.364116	0	0	0	0	0	3
22	11	0	0.152045591	101328.049	101338.364	101327.797	101549.219	210.855325	0	0	0	0	0	3
23	11	0	0.167458414	101328.092	101337.917	101327.797	101549.219	211.301936	0	0	0	0	0	3
24	12	0	0.182871236	101328.126	101337.509	101327.797	101549.219	211.70992	0	0	0	0	0	3
25	12	0	0.198284058	101328.152	101337.135	101327.797	101549.219	212.084228	0	0	0	0	0	3
26	13	0	0.21369688	101328.166	101336.79	101327.797	101549.219	212.429201	0	0	0	0	0	3
27	13	0	0.229109702	101328.178	101336.471	101327.797	101549.219	212.748161	0	0	0	0	0	3
28	13	0	0.244522524	101328.189	101336.175	101327.797	101549.219	213.043965	0	0	0	0	0	3
29	14	0	0.259935346	101328.195	101335.9	101327.797	101549.219	213.319152	0	0	0	0	0	3
30	14	0	0.275348169	101328.199	101335.643	101327.797	101549.219	213.575863	0	0	0	0	0	3
31	14	0	0.290760991	101328.198	101335.403	101327.797	101549.219	213.816029	0	0	0	0	0	3
32	15	0	0.306173813	101328.198	101335.178	101327.797	101549.219	214.041202	0	0	0	0	0	3
33	15	0	0.321586635	101328.196	101334.966	101327.797	101549.219	214.252766	0	0	0	0	0	3
34	15	0	0.336999457	101328.196	101334.767	101327.797	101549.219	214.451884	0	0	0	0	0	3
35	16	0	0.352412279	101328.195	101334.58	101327.797	101549.219	214.639654	0	0	0	0	0	3
36	16	0	0.367825101	101328.192	101334.402	101327.797	101549.219	214.817086	0	0	0	0	0	3
37	17	0	0.383237924	101328.188	101334.234	101327.797	101549.219	214.985047	0	0	0	0	0	3
38	17	0	0.398650746	101328.184	101334.075	101327.797	101549.219	215.144273	0	0	0	0	0	3
39	17	0	0.414063568	101328.18	101333.924	101327.797	101549.219	215.295429	0	0	0	0	0	3
40	18	0	0.42947639	101328.177	101333.78	101327.797	101549.219	215.439106	0	0	0	0	0	3
41	18	0	0.444889212	101328.173	101333.643	101327.797	101549.219	215.575864	0	0	0	0	0	3
42	19	0	0.460302034	101328.167	101333.513	101327.797	101549.219	215.706253	0	0	0	0	0	3
43	19	0	0.475714856	101328.162	101333.389	101327.797	101549.219	215.8307	0	0	0	0	0	3
44	19	0	0.491127679	101328.156	101333.27	101327.797	101549.219	215.949616	0	0	0	0	0	3
45	20	0	0.506540501	101328.15	101328.245	101327.797	101333.447	5.6500825	0	0	0	0	0	3
46	20	0	0.521953323	101328.143	101328.103	101327.797	101328.797	1.00034579	0	0	0	0	0	3
47	20	0	0.537366145	101328.137	101328.07	101327.797	101328.199	0.402105186	0	0	0	0	0	3
48	21	0	0.552778967	101328.13	101328.074	101327.797	101328.199	0.402105186	0	0	0	0	0	3
49	21	0	0.568191789	101328.124	101328.094	101327.797	101328.199	0.402105186	0	0	0	0	0	3
50	21	0	0.583604611	101328.118	101328.12	101327.831	101328.199	0.367535894	0	0	0	0	0	3
51	22	0	0.599017434	101328.112	101328.135	101327.899	101328.199	0.300032633	0	0	0	0	0	3
52	22	0	0.614430256	101328.106	101328.148	101327.959	101328.199	0.240158065	0	0	0	0	0	3
53	23	0	0.629843078	101328.101	101328.152	101327.998	101328.199	0.201081108	0	0	0	0	0	3
54	23	0	0.6452559	101328.097	101328.155	101328.049	101328.199	0.150251336	0	0	0	0	0	3
55	23	0	0.660668722	101328.092	101328.157	101328.092	101328.199	0.10690902	0	0	0	0	0	3
56	24	0	0.676081544	101328.087	101328.156	101328.087	101328.199	0.111947494	0	0	0	0	0	3
57	24	0	0.691494366	101328.081	101328.155	101328.081	101328.199	0.117954094	0	0	0	0	0	3
58	24	0	0.706907189	101328.074	101328.153	101328.074	101328.199	0.124756041	0	0	0	0	0	3
59	25	0	0.722320011	101328.066	101328.15	101328.066	101328.199	0.132680122	0	0	0	0	0	3
60	25	0	0.737732833	101328.056	101328.146	101328.056	101328.199	0.142834731	0	0	0	0	0	3
61	25	0	0.753145655	101328.045	101328.142	101328.045	101328.199	0.153937122	0	0	0	0	0	3
62	26	0	0.768558477	101328.033	101328.137	101328.033	101328.199	0.166266288	0	0	0	0	0	3
63	26	0	0.783971299	101328.021	101328.131	101328.021	101328.198	0.177610095	0	0	0	0	0	3
64	26	0	0.799384122	101328.009	101328.126	101328.009	101328.198	0.188700433	0	0	0	0	0	3
