Iteration	CPUTime	PhysTime	Travels
1	44	1.47915122e-05	0.0041893282
2	47	1.74283098e-05	0.0083786564
3	51	2.02390588e-05	0.0125679846
4	54	2.31709775e-05	0.0167573128
5	58	2.61013774e-05	0.020946641
6	62	3.06489135e-05	0.0251359692
7	65	3.54507765e-05	0.0293252974
8	69	4.02038796e-05	0.0335146256
9	72	4.48375489e-05	0.0377039538
10	76	4.92901942e-05	0.041893282
11	79	5.57917886e-05	0.0460826102
12	83	6.18897278e-05	0.0502719384
13	86	6.76846396e-05	0.0544612666
14	90	7.32767108e-05	0.0586505948
15	94	7.86506047e-05	0.062839923
16	97	8.64577198e-05	0.0670292512
17	101	9.40414286e-05	0.0712185794
18	104	0.000101625092	0.0754079076
19	108	0.000109750221	0.0795972358
20	111	0.000118680708	0.083786564
21	114	0.000133031547	0.0879758922
22	118	0.000148130273	0.0921652204
23	122	0.000164188878	0.0963545486
24	125	0.000180741438	0.100543877
25	129	0.0001980703	0.104733205
26	132	0.000224377488	0.108922533
27	136	0.000251805869	0.113111861
28	139	0.000279513804	0.11730119
29	143	0.000308172175	0.121490518
30	146	0.000337119544	0.125679846
31	150	0.000376615918	0.129869174
32	153	0.000416221293	0.134058502
33	157	0.000456858805	0.138247831
34	160	0.000497908848	0.142437159
35	163	0.000539335602	0.146626487
36	167	0.000581130838	0.150815815
37	170	0.00062329275	0.155005143
38	173	0.000665750847	0.159194472
39	177	0.000708583665	0.1633838
40	180	0.000751691355	0.167573128
41	183	0.000795159019	0.171762456
42	186	0.000838918139	0.175951784
43	190	0.000882996727	0.180141113
44	193	0.000927250954	0.184330441
45	196	0.000971879377	0.188519769
46	200	0.00101658562	0.192709097
47	203	0.0010615075	0.196898425
48	207	0.00110647225	0.201087754
49	210	0.00115174519	0.205277082
50	213	0.00119718611	0.20946641
51	217	0.00124290376	0.213655738
52	220	0.00128878871	0.217845066
53	223	0.00133489641	0.222034395
54	227	0.00138111491	0.226223723
55	230	0.00142752977	0.230413051
56	233	0.00147394009	0.234602379
57	236	0.00152057115	0.238791707
58	240	0.00156719373	0.242981036
59	243	0.00161404733	0.247170364
60	247	0.00166090463	0.251359692
61	251	0.00170800006	0.25554902
62	254	0.00175509598	0.259738348
63	258	0.00180245865	0.263927677
64	261	0.00184982838	0.268117005
65	265	0.0018974423	0.272306333
66	268	0.00194508268	0.276495661
67	272	0.00199298598	0.280684989
68	275	0.00204093409	0.284874318
69	279	0.00208914162	0.289063646
70	282	0.00213737456	0.293252974
71	286	0.00218583033	0.297442302
72	289	0.00223432813	0.30163163
73	293	0.00228310082	0.305820959
74	297	0.00233195016	0.310010287
75	301	0.0023810343	0.314199615
76	305	0.00243022232	0.318388943
77	309	0.00247962593	0.322578271
78	312	0.00252914346	0.3267676
79	316	0.00257888615	0.330956928
80	320	0.00262879553	0.335146256
81	323	0.00267892397	0.339335584
82	327	0.00272918955	0.343524912
83	330	0.00277966841	0.347714241
84	334	0.00283026837	0.351903569
85	337	0.00288110592	0.356092897
86	341	0.00293204625	0.360282225
87	344	0.00298320602	0.364471553
88	347	0.00303447487	0.368660882
89	350	0.00308597454	0.37285021
90	354	0.00313760091	0.377039538
91	357	0.00318947943	0.381228866
92	360	0.00324148201	0.385418195
93	364	0.0032937527	0.389607523
94	367	0.00334619911	0.393796851
95	370	0.00339888309	0.397986179
96	374	0.00345169471	0.402175507
97	377	0.00350476125	0.406364836
98	380	0.00355794459	0.410554164
99	384	0.00361134433	0.414743492
100	387	0.00366470712	0.41893282
101	414	0.00371781761	0.423122148
102	418	0.00377111308	0.427311477
103	421	0.00382442955	0.431500805
104	424	0.00387762411	0.435690133
105	428	0.00393085678	0.439879461
106	431	0.0039842211	0.444068789
107	434	0.00403772327	0.448258118
108	437	0.00409128825	0.452447446
109	441	0.00414481173	0.456636774
110	444	0.00419850246	0.460826102
111	447	0.00425215886	0.46501543
112	451	0.00430575936	0.469204759
113	454	0.00435948806	0.473394087
114	457	0.00441353968	0.477583415
115	461	0.00446726031	0.481772743
116	465	0.00452149798	0.485962071
117	468	0.00457538021	0.4901514
118	472	0.00462965836	0.494340728
119	475	0.00468387277	0.498530056
120	479	0.00473821288	0.502719384
121	482	0.00479253718	0.506908712
122	486	0.00484696779	0.511098041
123	490	0.00490151208	0.515287369
124	493	0.00495602413	0.519476697
125	496	0.00501060867	0.523666025
126	500	0.00506504891	0.527855353
127	503	0.00511987078	0.532044682
128	506	0.0051746957	0.53623401
129	510	0.00522982851	0.540423338
130	513	0.00528485605	0.544612666
131	517	0.0053402275	0.548801994
132	520	0.00539529766	0.552991323
133	524	0.00545069637	0.557180651
134	527	0.00550610522	0.561369979
135	531	0.00556166305	0.565559307
136	535	0.00561693336	0.569748635
137	539	0.00567268731	0.573937964
