Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	44	1.47915122e-05	0.0041893282	293.167259	293.167259	293.167259	293.167259	0	0	0	0	0	0	3
2	47	1.74283098e-05	0.0083786564	293.168071	293.167382	293.167259	293.168071	0.000122794459	0	0	0	0	0	3
3	51	2.02390588e-05	0.0125679846	293.166503	293.16726	293.166503	293.168071	0.000122794459	0	0	0	0	0	3
4	54	2.31709775e-05	0.0167573128	293.161575	293.16654	293.161575	293.168071	0.000841334557	0	0	0	0	0	3
5	58	2.61013774e-05	0.020946641	293.155972	293.165354	293.155972	293.168071	0.0020278819	0	0	0	0	0	3
6	62	3.06489135e-05	0.0251359692	293.150175	293.163102	293.150175	293.168071	0.00428012157	0	0	0	0	0	3
7	65	3.54507765e-05	0.0293252974	293.144483	293.16058	293.144483	293.168071	0.00680205683	0	0	0	0	0	3
8	69	4.02038796e-05	0.0335146256	293.13883	293.158008	293.13883	293.168071	0.00937336091	0	0	0	0	0	3
9	72	4.48375489e-05	0.0377039538	293.132961	293.15542	293.132961	293.168071	0.0119618092	0	0	0	0	0	3
10	76	4.92901942e-05	0.041893282	293.127694	293.152915	293.127694	293.168071	0.014466467	0	0	0	0	0	3
11	79	5.57917886e-05	0.0460826102	293.12301	293.14943	293.12301	293.168071	0.0179514428	0	0	0	0	0	3
12	83	6.18897278e-05	0.0502719384	293.119365	293.146468	293.119365	293.168071	0.0209137541	0	0	0	0	0	3
13	86	6.76846396e-05	0.0544612666	293.115937	293.143854	293.115937	293.168071	0.0235277103	0	0	0	0	0	3
14	90	7.32767108e-05	0.0586505948	293.112613	293.14147	293.112613	293.168071	0.0259118452	0	0	0	0	0	3
15	94	7.86506047e-05	0.062839923	293.109563	293.13929	293.109563	293.168071	0.0280919113	0	0	0	0	0	3
16	97	8.64577198e-05	0.0670292512	293.108629	293.136521	293.108629	293.168071	0.0308605901	0	0	0	0	0	3
17	101	9.40414286e-05	0.0712185794	293.11143	293.134498	293.108629	293.168071	0.0328839691	0	0	0	0	0	3
18	104	0.000101625092	0.0754079076	293.115236	293.13306	293.108629	293.168071	0.0343213659	0	0	0	0	0	3
19	108	0.000109750221	0.0795972358	293.117778	293.131929	293.108629	293.168071	0.0354527346	0	0	0	0	0	3
20	111	0.000118680708	0.083786564	293.118278	293.130902	293.108629	293.168071	0.0364799302	0	0	0	0	0	3
21	114	0.000133031547	0.0879758922	293.116844	293.129385	293.108629	293.168071	0.0379964517	0	0	0	0	0	3
22	118	0.000148130273	0.0921652204	293.116077	293.128029	293.108629	293.168071	0.0393530032	0	0	0	0	0	3
23	122	0.000164188878	0.0963545486	293.115879	293.12684	293.108629	293.168071	0.0405413181	0	0	0	0	0	3
24	125	0.000180741438	0.100543877	293.116154	293.125862	293.108629	293.168071	0.0415199665	0	0	0	0	0	3
25	129	0.0001980703	0.104733205	293.116121	293.12501	293.108629	293.168071	0.0423721471	0	0	0	0	0	3
26	132	0.000224377488	0.108922533	293.116355	293.123995	293.108629	293.168071	0.043386813	0	0	0	0	0	3
27	136	0.000251805869	0.113111861	293.116515	293.12318	293.108629	293.168071	0.0442015602	0	0	0	0	0	3
28	139	0.000279513804	0.11730119	293.116824	293.12255	293.108629	293.168071	0.0448316919	0	0	0	0	0	3
29	143	0.000308172175	0.121490518	293.117184	293.122051	293.108629	293.168071	0.0453307416	0	0	0	0	0	3
30	146	0.000337119544	0.125679846	293.117488	293.121659	293.108629	293.168071	0.0457225641	0	0	0	0	0	3
31	150	0.000376615918	0.129869174	293.11802	293.121278	293.108629	293.168071	0.0461042092	0	0	0	0	0	3
32	153	0.000416221293	0.134058502	293.118475	293.121011	293.108629	293.168071	0.0463708761	0	0	0	0	0	3
33	157	0.000456858805	0.138247831	293.119059	293.120837	293.108629	293.168071	0.0465445161	0	0	0	0	0	3
34	160	0.000497908848	0.142437159	293.119528	293.120729	293.108629	293.168071	0.0466524997	0	0	0	0	0	3
35	163	0.000539335602	0.146626487	293.120083	293.12068	293.108629	293.168071	0.0467021465	0	0	0	0	0	3
36	167	0.000581130838	0.150815815	293.120647	293.120677	293.108629	293.168071	0.0467045221	0	0	0	0	0	3
