Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	44	1.47915122e-05	0.0041893282	293.2	293.2	293.2	293.2	0	0	0	0	0	0	3
2	47	1.74283098e-05	0.0083786564	293.2	293.2	293.2	293.2	7.93534127e-11	0	0	0	0	0	3
3	51	2.02390588e-05	0.0125679846	293.2	293.2	293.2	293.2	2.09070095e-10	0	0	0	0	0	3
4	54	2.31709775e-05	0.0167573128	293.2	293.2	293.2	293.2	3.83522547e-10	0	0	0	0	0	3
5	58	2.61013774e-05	0.020946641	293.2	293.2	293.2	293.2	5.97992766e-10	0	0	0	0	0	3
6	62	3.06489135e-05	0.0251359692	293.2	293.2	293.2	293.2	1.0442136e-09	0	0	0	0	0	3
7	65	3.54507765e-05	0.0293252974	293.2	293.2	293.2	293.2	1.59809588e-09	0	0	0	0	0	3
8	69	4.02038796e-05	0.0335146256	293.2	293.2	293.2	293.2	2.21092478e-09	0	0	0	0	0	3
9	72	4.48375489e-05	0.0377039538	293.2	293.2	293.2	293.2	2.8533691e-09	0	0	0	0	0	3
10	76	4.92901942e-05	0.041893282	293.2	293.2	293.2	293.2	3.50001983e-09	0	0	0	0	0	3
11	79	5.57917886e-05	0.0460826102	293.2	293.2	293.2	293.2	4.53007942e-09	0	0	0	0	0	3
12	83	6.18897278e-05	0.0502719384	293.2	293.2	293.2	293.2	5.52728352e-09	0	0	0	0	0	3
13	86	6.76846396e-05	0.0544612666	293.2	293.2	293.2	293.2	6.50072707e-09	0	0	0	0	0	3
14	90	7.32767108e-05	0.0586505948	293.2	293.2	293.2	293.2	7.45711759e-09	0	0	0	0	0	3
15	94	7.86506047e-05	0.062839923	293.2	293.2	293.2	293.2	8.39878567e-09	0	0	0	0	0	3
16	97	8.64577198e-05	0.0670292512	293.2	293.2	293.2	293.2	9.89041382e-09	0	0	0	0	0	3
17	101	9.40414286e-05	0.0712185794	293.2	293.2	293.2	293.2	1.13926149e-08	0	0	0	0	0	3
18	104	0.000101625092	0.0754079076	293.2	293.2	293.2	293.2	1.29174964e-08	0	0	0	0	0	3
19	108	0.000109750221	0.0795972358	293.2	293.2	293.2	293.2	1.45650461e-08	0	0	0	0	0	3
20	111	0.000118680708	0.083786564	293.2	293.2	293.2	293.2	1.63752247e-08	0	0	0	0	0	3
21	114	0.000133031547	0.0879758922	293.2	293.2	293.2	293.2	1.93499545e-08	0	0	0	0	0	3
22	118	0.000148130273	0.0921652204	293.2	293.2	293.2	293.2	2.24288783e-08	0	0	0	0	0	3
23	122	0.000164188878	0.0963545486	293.2	293.2	293.2	293.2	2.5651957e-08	0	0	0	0	0	3
