Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0125550385	293.309128	293.309128	293.309128	293.309128	0	0	0	0	0	0	3
2	11	0	0.025110077	293.785932	293.54753	293.309128	293.785932	0.238402347	0	0	0	0	0	3
3	12	0	0.0376651154	294.518564	293.871208	293.309128	294.518564	0.562080268	0	0	0	0	0	3
4	14	0	0.0502201539	295.292962	294.226646	293.309128	295.292962	0.917518647	0	0	0	0	0	3
5	15	0	0.0627751924	296.333	294.647917	293.309128	296.333	1.33878937	0	0	0	0	0	3
6	17	0	0.0753302309	298.031491	295.211846	293.309128	298.031491	1.90271832	0	0	0	0	0	3
7	18	0	0.0878852694	301.309323	296.082914	293.309128	301.309323	2.7737865	0	0	0	0	0	3
8	20	0	0.100440308	307.51036	297.511345	293.309128	307.51036	4.2022172	0	0	0	0	0	3
9	21	0	0.112995346	312.226496	299.146362	293.309128	312.226496	5.83723403	0	0	0	0	0	3
10	23	0	0.125550385	317.450726	300.976798	293.309128	317.450726	7.66767048	0	0	0	0	0	3
11	24	0	0.138105423	323.687184	303.041379	293.309128	323.687184	9.73225097	0	0	0	0	0	3
12	25	0	0.150660462	329.777629	305.2694	293.309128	329.777629	11.9602718	0	0	0	0	0	3
13	27	0	0.1632155	337.002215	307.710385	293.309128	337.002215	14.4012576	0	0	0	0	0	3
14	28	0	0.175770539	344.446956	310.334426	293.309128	344.446956	17.0252984	0	0	0	0	0	3
15	30	0	0.188325577	352.594685	313.151777	293.309128	352.594685	19.842649	0	0	0	0	0	3
16	31	0	0.200880616	362.720159	316.249801	293.309128	362.720159	22.9406729	0	0	0	0	0	3
17	32	0	0.213435654	373.560085	319.620994	293.309128	373.560085	26.3118661	0	0	0	0	0	3
18	34	0	0.225990693	384.873278	323.246121	293.309128	384.873278	29.936993	0	0	0	0	0	3
19	35	0	0.238545731	396.433317	327.098078	293.309128	396.433317	33.7889507	0	0	0	0	0	3
20	37	0	0.25110077	407.589665	331.122658	293.309128	407.589665	37.81353	0	0	0	0	0	3
