Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0125550385	104812.511	104812.511	104812.511	104812.511	0	0	0	0	0	0	3
2	11	0	0.025110077	108108.997	106460.754	104812.511	108108.997	1648.24332	0	0	0	0	0	3
3	12	0	0.0376651154	111663.991	108195.166	104812.511	111663.991	3382.6556	0	0	0	0	0	3
4	14	0	0.0502201539	115696.357	110070.464	104812.511	115696.357	5257.95335	0	0	0	0	0	3
5	15	0	0.0627751924	120270.079	112110.387	104812.511	120270.079	7297.87635	0	0	0	0	0	3
6	17	0	0.0753302309	125916.807	114411.457	104812.511	125916.807	9598.94638	0	0	0	0	0	3
7	18	0	0.0878852694	135088.983	117365.389	104812.511	135088.983	12552.8787	0	0	0	0	0	3
8	20	0	0.100440308	148019.446	121197.147	104812.511	148019.446	16384.6358	0	0	0	0	0	3
9	21	0	0.112995346	162232.658	125756.648	104812.511	162232.658	20944.1371	0	0	0	0	0	3
10	23	0	0.125550385	177671.926	130948.176	104812.511	177671.926	26135.6649	0	0	0	0	0	3
11	24	0	0.138105423	194872.497	136759.478	104812.511	194872.497	31946.9668	0	0	0	0	0	3
12	25	0	0.150660462	213470.238	143152.041	104812.511	213470.238	38339.5302	0	0	0	0	0	3
13	27	0	0.1632155	232919.947	150057.265	104812.511	232919.947	45244.7537	0	0	0	0	0	3
14	28	0	0.175770539	253068.967	157415.243	104812.511	253068.967	52602.7325	0	0	0	0	0	3
15	30	0	0.188325577	273643.374	165163.785	104812.511	273643.374	60351.2745	0	0	0	0	0	3
16	31	0	0.200880616	294910.596	173272.961	104812.511	294910.596	68460.4502	0	0	0	0	0	3
17	32	0	0.213435654	315413.347	181634.16	104812.511	315413.347	76821.6494	0	0	0	0	0	3
18	34	0	0.225990693	336687.122	190248.214	104812.511	336687.122	85435.7028	0	0	0	0	0	3
19	35	0	0.238545731	359208.934	199140.883	104812.511	359208.934	94328.3723	0	0	0	0	0	3
20	37	0	0.25110077	384316.549	208399.666	104812.511	384316.549	103587.156	0	0	0	0	0	3
21	39	0	0.263655808	414351.956	218206.918	104812.511	414351.956	113394.407	0	0	0	0	0	3
22	40	0	0.276210847	441533.5	228358.127	104812.511	441533.5	123545.616	0	0	0	0	0	3
23	42	0	0.288765885	471501.004	238929.556	104812.511	471501.004	134117.045	0	0	0	0	0	3
24	43	0	0.301320924	504474.07	249993.911	104812.511	504474.07	145181.4	0	0	0	0	0	3
